name,coordinates,image
Бибирево,55°53′02″ с. ш. 37°36′12″ в. д.HЯ,Bibirevo-mm.jpg
Отрадное,55°51′48″ с. ш. 37°36′17″ в. д.HЯ,Otradnoe-mm.jpg
Владыкино,55°50′50″ с. ш. 37°35′24″ в. д.HЯ,Vladykino (Владыкино) (5367588275).jpg
Петровско-Разумовская,55°50′06″ с. ш. 37°34′28″ в. д.HЯ,Petrovsko-Razymovskaya.jpg
Тимирязевская,55°49′03″ с. ш. 37°34′35″ в. д.HЯ,Metro MSK Line9 Timiryazevskaya.jpg
Дмитровская,55°48′25″ с. ш. 37°34′54″ в. д.HЯ,Dmitrovskaya-mm.jpg
Савёловская,55°47′34″ с. ш. 37°35′19″ в. д.HЯ,Metro MSK Line9 Savyolovskaya (img1).jpg
Менделеевская,55°46′52″ с. ш. 37°36′04″ в. д.HЯ,Mendeleyevskaya 07.JPG
Цветной бульвар,55°46′15″ с. ш. 37°37′07″ в. д.HЯ,Tsvetnoi-mm.jpg
Чеховская,55°45′52″ с. ш. 37°36′35″ в. д.HЯ,Chekhovskaya hall.jpg
Боровицкая,55°45′04″ с. ш. 37°36′26″ в. д.HЯ,MosMetro Borovitskaya 2011.jpg
Полянка,55°44′16″ с. ш. 37°37′05″ в. д.HЯ,MosMetro Polyanka asv2018-01.jpg
Серпуховская,55°43′41″ с. ш. 37°37′29″ в. д.HЯ,Серпуховская 1.jpg
Тульская,55°42′31″ с. ш. 37°37′22″ в. д.HЯ,Tulskaya 01.jpg
Нагатинская,55°40′59″ с. ш. 37°37′21″ в. д.HЯ,Nagatinskaya 01.JPG
Нагорная,55°40′21″ с. ш. 37°36′37″ в. д.HЯ,Метро Нагорная 01.jpg
Нахимовский проспект,55°39′46″ с. ш. 37°36′20″ в. д.HЯ,Метро Нахимовский проспект 01.jpg
Севастопольская,55°39′09″ с. ш. 37°35′54″ в. д.HЯ,Метро Севастопольская 01.jpg
Чертановская,55°38′26″ с. ш. 37°36′24″ в. д.HЯ,Метро Чертановская 02.jpg
Южная,55°37′21″ с. ш. 37°36′32″ в. д.HЯ,Метро Южная 01.jpg
Пражская,55°36′45″ с. ш. 37°36′16″ в. д.HЯ,Метро Пражская 01.jpg
Улица Академика Янгеля,55°35′42″ с. ш. 37°36′01″ в. д.HЯ,Метро Улица академика Янгеля 01.jpg
Аннино,55°34′58″ с. ш. 37°35′48″ в. д.HЯ,Метро Аннино 02.jpg
Бульвар Дмитрия Донского,55°34′09″ с. ш. 37°34′37″ в. д.HЯ,Метро Бульвар Дмитрия Донского 07.jpg
Селигерская,,Ст. м. Селигерская. Центральный зал.jpg
Верхние Лихоборы,,Верхние Лихоборы, центральный зал (23.03.2018).jpg
Окружная,,Okruzhnaya Moscow Metro March '18 07.jpg
Петровско-Разумовская,55°50′06″ с. ш. 37°34′28″ в. д.HЯ,Petrovsko-Razymovskaya.jpg
Фонвизинская,55°49′22″ с. ш. 37°35′17″ в. д.HЯ,MosMetro Fonvizinskaya 01-2017.jpg
Бутырская,55°48′48″ с. ш. 37°36′10″ в. д.HЯ,MosMetro Butyrskaya 01-2017.jpg
Марьина роща,55°47′43″ с. ш. 37°36′58″ в. д.HЯ,Metro MSK Line10 Maryina Roshcha.jpg
Достоевская,55°46′54″ с. ш. 37°36′54″ в. д.HЯ,Достоевская 6.jpg
Трубная,55°46′08″ с. ш. 37°37′12″ в. д.HЯ,Станция «Трубная», центральный зал.jpg
Сретенский бульвар,55°46′00″ с. ш. 37°38′21″ в. д.HЯ,Sretensky Bulvar (Сретенский Бульвар) (4612075604).jpg
Чкаловская,55°45′23″ с. ш. 37°39′26″ в. д.HЯ,Chkalovskaya 07.jpg
Римская,55°44′47″ с. ш. 37°40′55″ в. д.HЯ,Rimskaya-mm.jpg
Крестьянская застава,55°43′59″ с. ш. 37°40′02″ в. д.HЯ,Krestian 02.jpg
Дубровка,55°43′07″ с. ш. 37°40′34″ в. д.HЯ,Dubrov 02.jpg
Кожуховская,55°42′27″ с. ш. 37°41′06″ в. д.HЯ,Kozhukhovskaya-mm.jpg
Печатники,55°41′36″ с. ш. 37°43′37″ в. д.HЯ,Pechatniki-mm.jpg
Волжская,55°41′27″ с. ш. 37°45′11″ в. д.HЯ,Volzhskaya-mm.jpg
Люблино,55°40′33″ с. ш. 37°45′42″ в. д.HЯ,Lyublino-mm.jpg
Братиславская,55°39′35″ с. ш. 37°45′02″ в. д.HЯ,Bratislavskaya-mm.jpg
Марьино,55°39′00″ с. ш. 37°44′35″ в. д.HЯ,Maryino (Moscow Metro) 001.jpg
Борисово55°38′00″ с. ш. 37°44′37″ в. д.HЯ,Borisovo (Борисово) (7180833804).jpg
Шипиловская,55°37′16″ с. ш. 37°44′37″ в. д.HЯ,Shipilovskaya (Шипиловская) (7209075414).jpg
Зябликово,55°36′45″ с. ш. 37°44′43″ в. д.HЯ,Metro MSK Line10 Zyablikovo.jpg
Шелепиха,,Shelepikha metro station.jpg
Хорошёвская,,Khoroshyovskaya Moscow Metro Opening Day 01.jpg
ЦСКА,,CSKA station.jpg
Петровский парк,,Petrovsky park metro station - view from stairs.jpg
Каширская,55°39′18″ с. ш. 37°38′55″ в. д.HЯ,Kashirskaya station, both halls, 2015.png
Варшавская,55°39′12″ с. ш. 37°37′10″ в. д.HЯ,Varshavskaya station.JPG
Каховская,55°39′11″ с. ш. 37°35′54″ в. д.HЯ,Kakhovskaya (Каховская) (5404633837).jpg
Битцевский парк,55°36′01″ с. ш. 37°33′22″ в. д.HЯ,Bitsevskiy park (Moscow metro).jpg
Лесопарковая,55°34′56″ с. ш. 37°34′37″ в. д.HЯ,Метро Лесопарковая 01.jpg
Улица Старокачаловская,55°34′08″ с. ш. 37°34′36″ в. д.HЯ,Метро Улица Старокачаловская 02.jpg
Улица Скобелевская,55°32′53″ с. ш. 37°33′17″ в. д.HЯ,Ulitsa Skobelevskaya station.jpg
Бульвар Адмирала Ушакова,55°32′44″ с. ш. 37°32′35″ в. д.HЯ,Bulushakova-mm.jpg
Улица Горчакова,55°32′30″ с. ш. 37°31′51″ в. д.HЯ,Ulitsa Gorchakova station.jpg
Бунинская аллея,55°32′17″ с. ш. 37°30′57″ в. д.H,
